,email,link
0,,
0,loo@shell.com,https://www.shell.com.sg/media/2013-media-releases/shell-boosts-production-for-chemical-customers-in-asia.html
1,loo@shell.com,https://www.shell.com.sg/media/2013-media-releases/shell-boosts-production-for-chemical-customers-in-asia.html
2,lopez@shell.com,https://www.shell.com.sg/media/2013-media-releases/shell-boosts-production-for-chemical-customers-in-asia.html
3,lopez@shell.com,https://www.shell.com.sg/media/2013-media-releases/shell-boosts-production-for-chemical-customers-in-asia.html
4,oh@shell.com,https://www.shell.com.sg/media/2013-media-releases/shell-boosts-production-for-chemical-customers-in-asia.html
5,oh@shell.com,https://www.shell.com.sg/media/2013-media-releases/shell-boosts-production-for-chemical-customers-in-asia.html
0,loo@shell.com,https://www.shell.com.sg/media/2013-media-releases/singapore-petrochemicals-new-investment.html
1,loo@shell.com,https://www.shell.com.sg/media/2013-media-releases/singapore-petrochemicals-new-investment.html
2,oh@shell.com,https://www.shell.com.sg/media/2013-media-releases/singapore-petrochemicals-new-investment.html
3,oh@shell.com,https://www.shell.com.sg/media/2013-media-releases/singapore-petrochemicals-new-investment.html
0,meyer@shell.com,https://www.shell.com.sg/media/2015-media-releases/shell-lifts-petrochemicals-production.html
1,meyer@shell.com,https://www.shell.com.sg/media/2015-media-releases/shell-lifts-petrochemicals-production.html
2,meyer@shell.com,https://www.shell.com.sg/media/2015-media-releases/shell-lifts-petrochemicals-production.html
3,leow@shell.com,https://www.shell.com.sg/media/2015-media-releases/shell-lifts-petrochemicals-production.html
4,leow@shell.com,https://www.shell.com.sg/media/2015-media-releases/shell-lifts-petrochemicals-production.html
0,enquiries@ipi.org.sg,https://www.aspri.com.sg/news/industry-news
1,enquiry@enterprisesg.gov.sg,https://www.aspri.com.sg/news/industry-news
0,covid_gobusiness@mti.gov.sg,https://www.aspri.com.sg/sgworkpass-accesscode-status
1,covid_gobusiness@mti.gov.sg,https://www.aspri.com.sg/sgworkpass-accesscode-status
2,mom_dormexit_ops@mom.gov.sg,https://www.aspri.com.sg/sgworkpass-accesscode-status
3,mom_dormexit_ops@mom.gov.sg,https://www.aspri.com.sg/sgworkpass-accesscode-status
4,covid_gobusiness@mti.gov.sg,https://www.aspri.com.sg/sgworkpass-accesscode-status
5,covid_gobusiness@mti.gov.sg,https://www.aspri.com.sg/sgworkpass-accesscode-status
0,mom_qops@mom.gov.sg,https://www.aspri.com.sg/news/news-recap
0,enquiries@ipi.org.sg,https://www.aspri.com.sg/free-e-courses-by-aspri-ipi
1,enquiries@ipi.org.sg,https://www.aspri.com.sg/free-e-courses-by-aspri-ipi
0,enquiries@ipi.org.sg,https://www.aspri.com.sg/news/detail/announcement-of-changes-to-process-enhanced-r1-criteria
1,enquiries@ipi.org.sg,https://www.aspri.com.sg/news/detail/announcement-of-changes-to-process-enhanced-r1-criteria
0,membership@aspri.com.sg,https://www.aspri.com.sg/membership-privileges
1,membership@aspri.com.sg,https://www.aspri.com.sg/membership-privileges
0,aspri@xample.com,https://www.aspri.com.sg/login?returnUrl=aspri-agm-2020
0,aspri@xample.com,https://www.aspri.com.sg/login?returnUrl=productivity-improvement-workshop-2016
0,aspri@xample.com,https://www.aspri.com.sg/login?returnUrl=productivity-improvement-forum-2018
0,aspri@xample.com,https://www.aspri.com.sg/login?returnUrl=productivity-improvement-forum-2017
0,info@giboil.com,https://www.shell.com/about-us/contact-us/contact-gibraltar.html
1,info@giboil.com,https://www.shell.com/about-us/contact-us/contact-gibraltar.html
0,mona@aspri.com.sg,https://www.aspri.com.sg/job-placement-programme-jpp
0,shell@jungent.eu,https://www.shell.com/about-us/contact-us/contact-estonia.html
1,shell@jungent.eu,https://www.shell.com/about-us/contact-us/contact-estonia.html
0,mercadotecnia@pochteca.com.mx,https://www.shell.com/about-us/contact-us/contact-elsalvador.html
1,mercadotecnia@pochteca.com.mx,https://www.shell.com/about-us/contact-us/contact-elsalvador.html
0,shell@shell.com,https://www.shell.com.sg/sustainability/safety/flaring-for-safety.html
1,shell@shell.com,https://www.shell.com.sg/sustainability/safety/flaring-for-safety.html
