,email,link
0,,
1,spc@spb.gov.sg,https://www.healthprofessionals.gov.sg/spc/feedback
2,dpo@hyphens.com.sg,http://www.hyphens.com.sg/privacy-policy/
3,vulnerability_disclosure@tech.gov.sg,https://www.tech.gov.sg/report_vulnerability
4,sg@astrazeneca.com,https://www.astrazeneca.com/country-sites/singapore.html
5,privacy@astrazeneca.com,https://www.astrazeneca.com/cookies.html
6,groupdpo@viforpharma.com,https://www.viforpharma.sg/site-services/privacy-policy
7,dataprivacy_eearep@viforpharma.com,https://www.viforpharma.sg/site-services/privacy-policy
8,safety@viforpharma.com,https://www.viforpharma.sg/site-services/privacy-policy
9,info@medicellpharma.com,http://www.medicellpharma.com/contact-us/
10,info_ap@viforpharma.com,https://www.viforpharma.sg/about-vifor-pharma/partnerships
11,tauliascfnam@astrazeneca.com,https://www.astrazeneca.com/az-suppliers.html
12,tauliascfuk@astrazeneca.com,https://www.astrazeneca.com/az-suppliers.html
13,tauliascfse@astrazeneca.com,https://www.astrazeneca.com/az-suppliers.html
14,enablement@astrazeneca.com,https://www.astrazeneca.com/az-suppliers.html
15,partnering@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
16,srinivasan@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
17,bhat@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
18,taylor@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
19,comley@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
20,wang@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
21,shankar@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
22,grady@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
23,easton@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
24,twait@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
25,kirk@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
26,austin@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
27,tait@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
28,grepinet@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
29,rivers@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
30,chen@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
31,uechi@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
32,kubasova@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
33,mongan@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
34,reed@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
35,schell@astrazeneca.com,https://www.astrazeneca.com/partnering/our-partnering-teams.html
