,email,link
0,,
1,sales@optimalmedical.com.sg,https://www.optimalmedical.com.sg/product/fracture-bedpan/
2,hsa_info@hsa.gov.sg,https://www.hsa.gov.sg/hsa-data-protection-policy
3,helpdesk@hsahelp.gov.sg,https://www.hsa.gov.sg/e-services/medics
4,hsa_is@hsa.gov.sg,https://www.hsa.gov.sg/contact-us
5,hsa_cmlpt@hsa.gov.sg,https://www.hsa.gov.sg/contact-us
6,hsa_cml@hsa.gov.sg,https://www.hsa.gov.sg/contact-us
7,hsa_pd_enquiry@hsa.gov.sg,https://www.hsa.gov.sg/contact-us
8,jsmith@yourdomain.com,https://www.singapore.rgf-executive.com/
9,spore@recruitexpress.com.sg,https://www.recruitexpress.com.sg
10,sales@transinstruments.com,http://www.transinstruments.com/
11,loader@2x.gif,http://sterilmedical.com/
12,info@scanmed.com.sg,https://scanmed.com.sg/syndaver-synthetic-cadavers/
13,contactus@hoya.com,https://hoyasurgicaloptics.com/html/page.php?page_id=14
14,gulbicki@hoya.com,https://hoyasurgicaloptics.com/html/page.php?page_id=14
15,info@aglowaesthetics.com,https://www.aglowaesthetics.com/sitemap
16,gorsic@fotona.com_54efc6600aad0000a8dcfe242c43569d_,https://www.fotona.com/en/
17,privacy@fotona.com,https://www.fotona.com/en/
18,medicare@singnet.com.sg,https://medicare.com.sg/sitemap/
19,sales@beacons.com.sg,http://www.beacons.com.sg/contact.php
20,hr@beacons.com.sg,http://www.beacons.com.sg/contact.php
21,info@cadi.com.sg,https://cadi.com.sg/
22,dmm@acertus.com,http://www.acertus.com/contact-form/
23,enquiry@acertus.com,http://www.acertus.com/contact-form/
24,john@pharma.com,https://dpseng.com.sg/computer-systems-validation/
25,hsa_tp_enquiry@hsa.gov.sg,https://www.hsa.gov.sg/therapeutic-products/register/special-access-routes/emergency-use-pathway-for-therapeutic-product
26,hsa_tp_sc@hsa.gov.sg,https://www.hsa.gov.sg/therapeutic-products/register/special-access-routes/special-consignment-by-a-product-registrant
27,hsa_md_info@hsa.gov.sg,https://www.hsa.gov.sg/medical-devices/registration/special-access-routes/import-unregistered-devices-exhibition
28,hsa_md_sa@hsa.gov.sg,https://www.hsa.gov.sg/medical-devices/registration/special-access-routes/custom-made-devices
29,cdc@welchallyn.com,https://www.welchallyn.com/en.html
30,hsa_cpm@hsa.gov.sg,https://www.hsa.gov.sg/chinese-proprietary-medicines/listing/transfer
31,animal_feedback@nparks.gov.sg,https://www.hsa.gov.sg/therapeutic-products/dealers-licence/overview
32,hsa_medical_device@hsa.gov.sg,https://www.hsa.gov.sg/medical-devices/field-safety-corrective-action/how-to-report
33,hsa_md_tech@hsa.gov.sg,https://www.hsa.gov.sg/medical-devices/registration/priority-review-scheme
34,hsa_innovationoffice@hsa.gov.sg,https://www.hsa.gov.sg/clinical-trials/innovation-office
35,hsa_trb@hsa.gov.sg,https://www.hsa.gov.sg/tobacco-regulation/tobacco-retailer-educational-video-and-quiz
36,hsa_ct_sae@hsa.gov.sg,https://www.hsa.gov.sg/clinical-trials/adverse-events
37,hsa_ma@hsa.gov.sg,https://www.hsa.gov.sg/chinese-proprietary-medicines/advertisements-medicinal-products-tmm
38,hsa_productsafety@hsa.gov.sg,https://www.hsa.gov.sg/therapeutic-products/adverse-events
39,sales@lifemedic.sg,https://lifemedic.sg/
40,dpo@orangevalley.sg,https://lifemedic.sg/cat6.html
41,bizinfo@sg.marshallcavendish.com,https://www.singaporemedtech.com/categories/hospital-equipment-supplies-1?page=4
42,enquiries@oceanmaster.com.sg,https://www.singaporemedtech.com/products/ceiling-and-mobile-hoist-lift
43,sales@asiateck.com.sg,https://www.singaporemedtech.com/products/ceiling-and-mobile-hoist-lift
44,sales@alphamed.com.sg,https://www.singaporemedtech.com/companies/alphamed-pte-ltd
45,sales@umedic.com.sg,https://www.singaporemedtech.com/companies/umedic-pte-ltd
46,irene@umedic.com.sg,https://www.singaporemedtech.com/companies/umedic-pte-ltd
47,lozon@lozon.com.sg,http://www.lozon.com.sg
48,bizmktg@sg.marshallcavendish.com,https://www.singaporemedtech.com/contact-us
49,bizinfo@my.marshallcavendish.com,https://www.singaporemedtech.com/contact-us
50,bizinfo@hk.marshallcavendish.com,https://www.singaporemedtech.com/contact-us
51,info@greenworldmedia.co.th,https://www.singaporemedtech.com/contact-us
52,training@dpseng.com,https://dpseng.com.sg/privacy-policy/
53,ng_meng_li@edb.gov.sg,https://www.edb.gov.sg/en/other-pages/terms.html
54,kem1@pharmex.com.sg,https://www.medicalsupplies.com.sg/contact
55,oth@pharmex.com.sg,https://www.medicalsupplies.com.sg/contact
56,office@apotheca.com.sg,https://apotheca.com.sg/why-apotheca/
57,edbwhistleblower@kpmg.com.sg,https://www.edb.gov.sg/en/other-pages/whistleblowing.html
58,creaner@getreskilled.com,https://dpseng.com.sg/frequently-asked-questions-faq/
59,welch@getreskilled.com,https://dpseng.com.sg/frequently-asked-questions-faq/
60,zowaco@zowamedical.com.sg,https://zowacare.com/product-category/bp-monitor/
61,zowacare@zowamedical.com.sg,https://zowacare.com/product-category/bp-monitor/
62,moh_info@moh.gov.sg,https://elis.moh.gov.sg/elis/info.do?task=guidelines&section=PrivacyStatement
63,elishelpdesk@ncs.com.sg,https://elis.moh.gov.sg/elis/info.do?task=contactinfo
64,export@mylife999.com,https://www.cn1699.com/showroom/export-1516-my-life-medical-apparatus-and-instruments-co-ltd-nbsp-
65,phil@asiafireworks.com,https://www.cn1699.com/showroom/fireworks-trade-exhibitions-and-conferences-philippines-inc-
66,medical@cn1699.com,https://www.cn1699.com/showroom/cn1699-services
67,lori@cn1699.com,https://www.cn1699.com/showroom/cn1699-services
68,jennilyn@cn1699.com,https://www.cn1699.com/showroom/cn1699-services
69,jennilyn@chenyangtrade.com,https://www.cn1699.com/showroom/cn1699-services
70,grace@chenyangtrade.com,https://www.cn1699.com/showroom/cn1699-services
71,mbs@gov.pdf,https://www.mbs.gov.sg
72,support@corppass.gov.sg,https://www.mbs.gov.sg
73,support@singpass.gov.sg,https://www.mbs.gov.sg
74,helpdesk@assurity.sg,https://www.mbs.gov.sg
75,pharma@escoglobal.com,http://www.escopharma.com/product-details.php?productId=32&pg=pdt
76,info@escoglobal.com,http://www.escopharma.com/product-details.php?productId=32&pg=pdt
77,vietnam@escoglobal.com,http://vn.escoglobal.com
78,sales1@escoglobal.com,http://escolifesciences.co.th
79,mail@escoglobal.com,http://my.escoglobal.com
80,malaysia@escoglobal.com,http://my.escoglobal.com
81,covid@escoglobal.com,http://my.escoglobal.com
82,strydom@escoglobal.com,http://za.escoglobal.com
83,haymarn@escoglobal.com,http://escolifesciences.com.mm/
84,sales@escoglobal.com,http://escolifesciences.com.mm/
85,philippines@escoglobal.com,http://www.escoglobal.com.ph
86,wibisono@escoglobal.com,http://escolifesciences.co.id
87,admin@escoglobal.com,http://escolifesciences.us
88,russia@escoglobal.com,http://escolifesciences.ru
89,ops@escoglobal.com,http://escolifesciences.eu
90,agsalon@escoglobal.com,http://www.escoglobal.com/privacy-policy.php
91,pharma@escoglobal.com.com,http://www.escoglobal.com/corporate.php
92,nardolillo@escoglobal.com,http://www.escoglobal.com/corporate.php
93,heah@escoglobal.com,http://www.escoglobal.com/corporate.php
94,service2@escoglobal.com,http://www.escoglobal.com/corporate.php
95,customerservice1@escoglobal.com,http://www.escoglobal.com/corporate.php
96,mail@escolifesciences.cn,http://www.escoglobal.com/corporate.php
97,mail@escolifesciences.hk,http://www.escoglobal.com/corporate.php
98,india@escoglobal.com,http://www.escoglobal.com/corporate.php
99,service1@escoglobal.com,http://www.escoglobal.com/corporate.php
