,email,link
0,,
1,enquiries@westmeadpharmacy.com,http://www.westmeadpharmacy.com/faqs
2,support@westmeadpharmacy.com,http://www.westmeadpharmacy.com/faqs
3,bootstrap@3.4,https://www.pfizer.com.sg/terms-use
4,dpo@hyphens.com,http://www.hyphens.com.sg/privacy-policy/
5,contact@aslanpharma.com,http://aslanpharma.com/zh/contact/
6,careers@aslanpharma.com,http://aslanpharma.com/zh/contact/
7,privacyoffice@takeda.com,https://www.takeda.com/privacy-notice/
8,privacyoffice@amgen.com,https://www.amgen.com.sg/privacy-statement/
9,info@medicellpharma.com,http://www.medicellpharma.com/privacy-policy/
10,GroupDPO@viforpharma.com,https://www.viforpharma.sg/site-services/privacy-policy
11,dataprivacy_EEArep@viforpharma.com,https://www.viforpharma.sg/site-services/privacy-policy
12,safety@viforpharma.com,https://www.viforpharma.sg/site-services/privacy-policy
13,ASMcareers@amgen.com,https://www.amgen.com.sg/en-sg/contact-us/
14,sg@amgen.com,https://www.amgen.com.sg/en-sg/contact-us/
15,JAPAC@amgen.com,https://www.amgen.com.sg/en-sg/contact-us/
16,relations@amgen.com,https://wwwext.amgen.com/contact-us/
17,talentacquisitioninquiries@amgen.com,https://wwwext.amgen.com/contact-us/
18,accountspayableinquiry@amgen.com,https://wwwext.amgen.com/contact-us/
19,info_ap@viforpharma.com,https://www.viforpharma.sg/about-vifor-pharma/partnerships
20,tw@amgen.com,https://www.amgen.com.tw/zh-tw/
21,croatia@amgen.com,https://www.amgen.hr/
22,Communications@takeda.com,https://www.takeda.com/who-we-are/company-information/worldwide-offices/eucan-bu/
23,global_csr_program@takeda.com,https://www.takeda.com/corporate-responsibility/global-csr-program/
24,Takeda_Garden@takeda.co,https://www.takeda.com/our-stories/caring/Safeguarding-Plant-Diversity-for-Future-Generations/
25,T_CiRA@takeda.co,https://www.takeda.com/what-we-do/t-cira/
26,sustainableprocurement@takeda.com,https://www.takeda.com/what-we-do/suppliers/sustainable-procurement/
27,supplierdiversity@takeda.com,https://www.takeda.com/what-we-do/suppliers/supplier-diversity/
28,ExpandedAccess@Takeda.com,https://www.takeda.com/what-we-do/access-to-medicines/pre-approval-access/
29,ExpandedAccess@takeda.com,https://www.takeda.com/what-we-do/access-to-medicines/pre-approval-access/
30,shire@gmail.com,https://www.takeda.com/what-we-do/suppliers/shire-supplier-information/
31,Comms@shire.com,https://www.takeda.com/what-we-do/suppliers/shire-supplier-information/
32,poprocessing@shire.com,https://www.takeda.com/what-we-do/suppliers/shire-supplier-information/
33,research@takeda.com,https://www.takeda.com/what-we-do/research-and-development/investigator-initiated-research/
34,GlobalOncologyMedinfo@takeda.com,https://www.takedaoncology.com
35,medicalinformation@takeda.com,https://www.takedaoncology.com
36,someone@example.com,https://www.takeda.com/who-we-are/contact-us/
37,address@example.com,https://www.takeda.com/who-we-are/contact-us/
38,Media_Relations@takeda.com,https://www.takeda.com/newsroom/
39,contact@cennervpharma.com,https://cennervpharma.com/contact/
40,investor@aslanpharma.com,https://ir.aslanpharma.com/
41,vulnerability_disclosure@tech.gov,https://www.tech.gov.sg/report_vulnerability
42,SPC@spb.gov,https://www.healthprofessionals.gov.sg/spc/feedback
43,jun_wee_tan@nhg.com,https://www.healthprofessionals.gov.sg/spc/registered-pharmacists/spc-accredited-pharmacy-preceptor-training-programme
44,whpconsultancy@sgh.com,https://www.healthprofessionals.gov.sg/spc/registered-pharmacists/spc-accredited-pharmacy-preceptor-training-programme
45,styles@0.0,https://www.pfizer.com/general/global_sites
46,webmaster@abbott.com,https://www.abbott.com.sg/privacy.html
47,sgdpo@abbott.com,https://www.abbott.com.sg/privacy.html
48,CustomerCareFreeStyleCanada@abbott.com,https://www.abbott.com.sg/contact.Canada.html
49,sverige@abbott.se,https://www.abbott.com.sg/contact.Sweden.html
50,abbott@pec.it,https://www.abbott.com.sg/contact.Italy.html
51,supportoamministrativo@abbott.com,https://www.abbott.com.sg/contact.Italy.html
52,ricezioneordini@abbott.com,https://www.abbott.com.sg/contact.Italy.html
53,ufficioordini@pec.it,https://www.abbott.com.sg/contact.Italy.html
54,add_italy_tender@abbott.com,https://www.abbott.com.sg/contact.Italy.html
55,ufficiogare@pec.it,https://www.abbott.com.sg/contact.Italy.html
56,servizioclienti@abbott.com,https://www.abbott.com.sg/contact.Italy.html
57,amdcustomercare@abbott.com,https://www.abbott.com.sg/contact.Italy.html
58,ordini@abbott.com,https://www.abbott.com.sg/contact.Italy.html
59,ordini@av.abbott,https://www.abbott.com.sg/contact.Italy.html
60,avmilancustomer@pec.av,https://www.abbott.com.sg/contact.Italy.html
61,info@abbott.hu,https://www.abbott.com.sg/contact.Hungary.html
62,au@abbott.com,https://www.abbott.com.sg/contact.Australia.html
63,customerserviceaustralia@abbott.com,https://www.abbott.com.sg/contact.Australia.html
64,medicalinformation@abbott.com,https://www.abbott.com.sg/contact.Australia.html
65,acs@av.abbott,https://www.abbott.com.sg/contact.Australia.html
66,enquiry@apexpharmacy.com,http://www.apexpharmacy.com.sg/contact-us
67,apexhr@apexpharmacy.com,http://www.apexpharmacy.com.sg/contact-us
68,itdept@apexpharmacy.com,http://www.apexpharmacy.com.sg/contact-us
69,enquiry@apexpharma.com,http://online.apexpharma.com.sg
70,hr@hyphens.com,http://www.hyphens.com.sg/careers/
71,hqaereporting@hyphens.com,http://www.hyphens.com.sg/contact-us/
72,connect@hyphens.com,http://www.hyphens.com.sg/contact-us/
73,tan@gmail.com,https://myfemcare.com.sg/lemon-verbena
74,jpg@2x.jpg,http://ph.betadine.com/en/home
75,info@pharmaboardroom.com,https://pharmaboardroom.com/contact
76,response@gilead.com,https://www.gilead.com/purpose/advancing-global-health/covid-19
77,wordpress@5.4,https://www.efusiontech.com
78,contact@efusiontech.com,https://www.efusiontech.com
79,privacyoffice@abbvie.com,https://www.abbvie.com.sg/privacy.html
80,info@airliquide.com,https://industry.airliquide.sg/credits
81,Integrity@westpharma.com,https://www.westpharma.com/privacy-policy
82,dpo@airliquide.com,https://industry.airliquide.sg/legal-notice
83,gradyan@dksh.com,https://www.dksh.com/global-en/home/about-us/what-we-do/market-expansion-services
84,deng@dksh.com,https://www.dksh.com/global-en/home/about-us/what-we-do/market-expansion-services
85,service@mauricelacroix.de,https://www.dksh.com/global-en/home/about-us/what-we-do/market-expansion-services
86,varma@silbury.com,https://www.dksh.com/sg-en/home/media/news
87,pdpa@nhcs.com,https://www.nhcs.com.sg/about-us/corporate-profile/pdpa
88,communications@dksh.com,https://www.dksh.com/global-en/home/technology/product-search?sup=antunes
89,lim@dksh.com,https://www.dksh.com/global-en/home/technology/product-search?sup=antunes
90,sethi@dksh.com,https://www.dksh.com/sg-en/personal-contact-form?dksh_contact=1412869125301
91,sin@dksh.com,https://www.dksh.com/sg-en/home/healthcare
92,reger@dksh.com,https://www.dksh.com/sg-en/home/healthcare
93,hec@dksh.com,https://www.dksh.com/my-en/home
94,saipan@dksh.com,https://www.guamwatches.com/caronel-lifestyle
95,Myanmar@dksh.com,https://www.dksh.com/mm-en/home
96,Lai@westpharma.com,https://investor.westpharma.com/news-releases/news-release-details/west-pharmaceutical-services-inc-join-sp-500-index
97,Pelkowski@westpharma.com,https://investor.westpharma.com/news-releases/news-release-details/west-pharmaceutical-services-inc-join-sp-500-index
98,name@provider.com,"https://www.glassdoor.sg/Overview/Working-at-West-Pharmaceutical-Services-EI_IE729.11,39.htm?countryRedirect=true"
99,youremail@gmail.com,https://westpharma.us9.list-manage.com/subscribe?u=5e0afb2639e4a13561a3ba155&id=7ca525a655
100,PharmaceuticalServices@westpharma.com,https://westpharma.us9.list-manage.com/subscribe?u=5e0afb2639e4a13561a3ba155&id=7ca525a655
101,qaccs@westpharma.com,https://www.westpharma.com/support/quality-support
102,complaints@westpharma.com,https://www.westpharma.com/support/quality-support
103,recall@westpharma.com,https://www.westpharma.com/support/alerts-and-notices
104,coronavirusupdate@westpharma.com,https://www.westpharma.com/support/company-impact-updates
105,LastName@westpharma.com,https://www.westpharma.com/careers/singapore
106,Talent@westpharma.com,https://www.westpharma.com/careers/singapore
107,websitesupport@westpharma.com,https://www.westpharma.com/support/knowledge-center
108,ote@nhcs.com,https://www.nhcs.com.sg/education-training/fellowships
109,education@nhcs.com,https://www.nhcs.com.sg/education-training/undergraduate-programme/undergraduate-programme
